#OTU ID	C1	C10	C11	C12	C13	C14	C15	C2	C3	C4	C5	C6	C7	C8	C9	I1	I10	I11	I12	I13	I14	I2	I3	I4	I5	I6	I7	I8	I9
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0.07601328903654485	0.047159757007353725	0.05999001678994419	0.017340363210310485	0.028334147532975085	0.046434081520927685	0.15080536087544572	0.08432668783509448	0.057957279288474155	0.14679218967921898	0.08772965879265092	0.10208556422415992	0.030160364866853022	0.050452270132607356	0.03640328008721619	0.0910472183263207	0.04548125514161476	0.11869345192455145	0.10582659148484105	0.05642605240837462	0.051769217360990064	0.10429322578998418	0.05913520673668275	0.08002278228677204	0.06818046721749985	0.11500811648384082	0.11175616835994194	0.020525764358510334	0.1423722537645026
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0017718715393133999	0.03213258019823084	0.01288741661750692	0.0	0.0	0.021997710645498433	0.03405877290052871	0.016865337567018895	0.023037107239192244	0.013249651324965132	0.05426509186351706	0.018459028096476468	0.030160364866853022	0.01651005532624923	0.015120633265393185	0.020453482935951377	0.048301798096133504	0.0	0.03383182152488355	0.03111468238025088	0.004880599616524316	0.011996528664046149	0.021619831582931213	0.01841568180739475	0.02544136004279855	0.02454621476708151	0.020740671379746244	9.524716639679969e-05	0.027092076030609726
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.012270210409745293	0.003676862410742833	0.042791668557426145	0.08687756297598126	0.03057319654779352	0.06285771164086995	0.05545309233984999	0.09010462755712872	0.06094627105052125	0.0009065550906555091	0.042979002624671914	0.07373412880526235	0.03702613898288461	0.04816896460876438	0.023083850784471727	0.048094904160822814	0.05476554236690563	0.035066196391146554	0.08842036446841546	0.029195125217624213	0.001481610597873453	0.00010209811628975445	0.04891664301258397	0.017324030566234754	0.10877964691196576	0.04943676521225835	0.07439486867362705	0.048576054862367844	0.049740804739570474
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.007486157253599114	0.02477885537674518	0.0	0.00632688927943761	0.023041849861586063	0.0	0.016168695438337637	0.016865337567018895	0.011372749143398702	0.0009762900976290098	0.0	0.0	0.005100289343337747	0.02603846491613243	0.02749206048253306	0.030563347358578775	0.0	0.0	0.004821443164174225	0.003571269139770546	0.11356109464877114	0.03930777477155546	0.0	0.013859224452987802	0.03655709445402128	0.00964139898666929	0.0	0.022954567101628725	0.011416934090348062
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.033975636766334444	0.022860492379835874	0.006171438943594863	0.020210896309314587	0.02344894968246214	0.0002986114567262231	0.008545432189843846	0.04403727031388267	0.03120215790624772	0.0801952580195258	0.027296587926509186	0.013053898322370099	0.01186798097199745	0.014885395626591727	0.00981182158600749	0.030563347358578775	0.012692443295334352	0.004804989009865562	0.007845060063741112	0.034105620284808714	0.13569810005229213	0.04905814487722702	0.004588892042766582	0.01044188143718259	0.05135825952564941	0.05233902307049043	0.015637436209560374	0.02514525192875512	0.03449765490002468
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum	0.0	0.02302035596291165	0.021463901620002723	0.014411247803163444	0.01982576127666504	0.01040163240929677	0.03768597073650559	0.027223986257873093	0.0	0.05	0.03615485564304462	0.016827290806180204	0.02363787945662302	0.026828839905155	0.023178650993032186	0.01443431510051426	0.015983076742272888	0.04646526606348719	0.011032115714635941	0.04397125128342485	0.08933240369531113	0.05150849966818112	0.07209764405336361	0.05975603967914946	0.03465493669381204	0.02612032072408874	0.02294114893019336	0.0	0.05023450999753147
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0.01621262458471761	0.016732388361931153	0.012342877887189727	0.0	0.0	0.015229184293037375	0.0	0.0	0.018954581905664503	0.0	0.0	0.0007138850645046148	0.009121671325584817	0.0	0.015736834621036165	0.0	0.07180632271712305	0.009712211828451668	0.011440712592955789	0.0	0.0005229213874847481	0.005717494512226249	0.0	0.0	0.0	0.0	0.014373332084835433	0.015049052290694353	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0.0033665559246954598	0.025151870403921986	0.030721060035395018	0.0	0.01608044292460511	0.0	0.028033935817041684	0.03133621362760918	0.0	0.01394700139470014	0.0	0.018612003467441744	0.0	0.010011416527619214	0.0	0.027115474520804116	0.0	0.02264478863160047	0.015526681376154287	0.0	0.0	0.003777630302720915	0.05639133314410067	0.022687360577151264	0.023301432562563156	0.0	0.018493375158013015	0.0	0.013453468279437176
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	0.010808416389811738	0.029361611424917403	0.012206743204610428	0.0	0.01848233186777398	0.0	0.0	0.025766487949612202	0.028067361668003207	0.009344490934449093	0.0016404199475065617	0.0037733924838101065	0.014172919425236625	0.0234477913410029	0.01625823576811869	0.0	0.0	0.0	0.008335376317724933	0.008481764206955046	0.016297716576607984	0.0	0.023606774529283753	0.016849399591817363	0.023182547702550082	0.028186334792660733	0.016246078936279787	0.02104962377369273	0.01073808936065169
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	0.024363233665559248	0.009058936374293936	0.06579842991332759	0.010837727006444054	0.03724963361016121	0.02080326481859354	0.013894012049674167	0.04554682213315288	0.010497922286214188	0.015899581589958158	0.015026246719160105	0.02911631227372393	0.0013241135795203766	0.047642047949416004	0.022894250367350807	0.015603085553997195	0.0	0.02162245054439503	0.00016343875132793985	0.007856792107495202	0.002788914066585323	0.012966460768798815	0.025688333806414988	0.043998291328492097	0.06253343636687868	0.014363716857690983	0.0002809120277166534	0.014620440041908753	0.038447296963712664
